DATA FILE;C:\Program Files\CRA\data\Akce HuSk_ No.4._ 2019.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(984 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;3
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;0,0;3530;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;2,0;3704;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;4,0;3588;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;6,0;3167;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;8,0;2690;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;10,0;2189;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;12,0;1756;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;14,0;1342;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;16,0;1286;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;18,0;695;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;20,0;559;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;22,0;357;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;24,0;542;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;26,0;619;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;28,0;482;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;30,0;560;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;32,0;414;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;34,0;677;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;36,0;484;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;38,0;641;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;40,0;679;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;42,0;758;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;44,0;907;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;46,0;672;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;48,0;948;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;50,0;592;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;52,0;632;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;54,0;160;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;56,0;141;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;58,0;178;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;60,0;184;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;62,0;372;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;64,0;227;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;66,0;462;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;68,0;230;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;70,0;467;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;72,0;344;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;74,0;460;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;76,0;410;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;78,0;398;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;80,0;477;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;82,0;665;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;84,0;727;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;86,0;774;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;88,0;488;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;90,0;517;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;92,0;573;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;94,0;532;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;96,0;551;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;98,0;476;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;100,0;507;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;102,0;656;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;104,0;646;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;106,0;713;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;108,0;781;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;110,0;623;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;112,0;883;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;114,0;584;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;116,0;818;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;118,0;486;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;120,0;600;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;122,0;484;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;124,0;645;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;126,0;567;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;128,0;521;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;130,0;354;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;132,0;403;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;134,0;243;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;136,0;301;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;138,0;70;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;140,0;151;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;142,0;77;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;144,0;105;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;146,0;91;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;148,0;19;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;150,0;62;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;152,0;136;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;154,0;158;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;156,0;163;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;158,0;127;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;160,0;149;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;162,0;180;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;164,0;129;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;166,0;185;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;168,0;110;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;170,0;329;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;172,0;244;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;174,0;491;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;176,0;405;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;178,0;478;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;180,0;275;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;182,0;131;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;184,0;208;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;186,0;225;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;188,0;229;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;190,0;189;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;192,0;166;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;194,0;252;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;196,0;326;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;198,0;394;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;200,0;533;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;202,0;735;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;204,0;794;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;206,0;909;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;208,0;668;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;210,0;613;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;212,0;555;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;214,0;597;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;216,0;577;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;218,0;362;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;220,0;165;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;222,0;52;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;224,0;27;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;226,0;79;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;228,0;135;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;230,0;193;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;232,0;378;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;234,0;452;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;236,0;484;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;238,0;301;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;240,0;174;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;242,0;36;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;244,0;39;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;246,0;164;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;248,0;343;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;250,0;458;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;252,0;622;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;254,0;614;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;256,0;635;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;258,0;492;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;260,0;537;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;262,0;532;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;264,0;755;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;266,0;664;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;268,0;750;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;270,0;623;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;272,0;775;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;274,0;701;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;276,0;674;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;278,0;796;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;280,0;805;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;282,0;859;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;284,0;749;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;286,0;596;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;288,0;562;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;290,0;491;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;292,0;723;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;294,0;660;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;296,0;655;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;298,0;703;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;300,0;677;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;302,0;960;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;304,0;873;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;306,0;1103;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;308,0;764;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;310,0;435;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;312,0;122;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;314,0;123;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;316,0;294;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;318,0;332;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;320,0;209;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;322,0;154;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;324,0;124;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;326,0;124;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;328,0;80;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;330,0;33;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;332,0;0;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;334,0;16;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;336,0;47;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;338,0;74;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;340,0;83;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;342,0;43;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;344,0;125;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;346,0;191;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;348,0;187;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;350,0;133;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;352,0;43;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;354,0;24;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;356,0;47;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;358,0;89;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;360,0;165;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;362,0;116;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;364,0;91;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;366,0;30;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;368,0;86;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;370,0;84;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;372,0;85;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;374,0;59;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;376,0;40;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;378,0;132;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;380,0;117;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;382,0;220;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;384,0;133;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;386,0;178;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;388,0;124;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;390,0;163;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;392,0;114;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;394,0;193;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;396,0;192;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;398,0;176;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;400,0;111;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;402,0;84;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;404,0;188;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;406,0;127;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;408,0;212;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;410,0;178;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;412,0;266;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;414,0;184;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;416,0;160;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;418,0;160;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;420,0;169;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;422,0;155;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;424,0;63;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;426,0;49;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;428,0;0;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;430,0;18;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;432,0;186;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;434,0;200;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;436,0;198;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;438,0;149;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;440,0;142;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;442,0;237;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;444,0;98;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;446,0;118;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;448,0;26;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;450,0;69;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;452,0;87;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;454,0;116;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;456,0;159;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;458,0;176;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;460,0;193;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;462,0;195;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;464,0;133;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;466,0;86;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;468,0;56;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;470,0;95;6,00
